zipcode,Year,flood_count,max_severity,median_dead,median_displaced,median_duration,median_area,zipcode_3area,flood_count_total_10,max_severity_avg_10,median_dead_avg_10,median_displaced_avg_10,median_duration_avg_10,median_area_avg_10,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
39823,2014,1,2.0,1.0,200.0,1.0,260469.81,398,4.0,1.25,8.0,3100.0,5.5,164974.02000000002,-3.02,106.81,,
40045,2004,1,1.0,2.0,60.0,12.0,167998.11,400,1.0,1.0,2.0,60.0,12.0,167998.11,1.68,127.41,,
40067,2005,1,2.0,3.0,4000.0,27.0,285908.88,400,2.0,1.5,2.5,2030.0,19.5,226953.495,5.61,186.07,,121.4
40347,2003,1,1.0,2.0,0.0,0.0,10537.09,403,2.0,1.5,26.0,0.0,7.5,95224.145,4.8,149.59,,111.63
40380,2004,1,1.0,3.0,0.0,5.0,59887.68,403,4.0,1.25,3.0,0.0,3.5,65192.17999999999,8.32,179.9,,123.21
41031,2017,1,1.5,1.0,10.0,1.0,3337.42,410,1.0,1.5,1.0,10.0,1.0,3337.42,8.99,188.58,,133.67
41143,2003,1,1.0,0.0,200.0,1.0,4845.05,411,1.0,1.0,0.0,200.0,1.0,4845.05,5.99,118.41,,112.79
41164,2015,1,1.5,3.0,0.0,3.0,44261.07,411,2.0,1.25,1.5,100.0,2.0,24553.06,8.2,124.06,,
42003,2006,1,1.0,6.0,0.0,3.0,17035.91,420,1.0,1.0,6.0,0.0,3.0,17035.91,2.24,202.38,172.83,120.34
42058,2008,1,1.0,13.0,0.0,12.0,337703.28,420,2.0,1.0,9.5,0.0,7.5,177369.595,4.17,145.17,,135.68
42159,2015,1,1.5,0.0,0.0,13.0,56870.12,421,2.0,1.25,0.0,0.0,7.0,31702.485,1.4,126.0,,
43119,1990,1,1.0,0.0,3500.0,3.0,177858.71,431,1.0,1.0,0.0,3500.0,3.0,177858.71,3.57,172.96,100.0,70.6
43230,1991,1,1.0,4.0,0.0,1.0,210359.75,432,1.0,1.0,4.0,0.0,1.0,210359.75,3.43,228.89,103.43,74.91
43229,1999,1,1.0,0.0,0.0,6.0,21898.24,432,2.0,1.0,2.0,0.0,3.5,116128.995,2.98,284.38,133.91,95.33
44046,2006,1,1.0,1.0,600.0,3.0,4721.61,440,1.0,1.0,1.0,600.0,3.0,4721.61,7.54,182.22,,119.59
44401,2003,1,1.0,3.0,1000.0,7.0,12173.27,444,1.0,1.0,3.0,1000.0,7.0,12173.27,-0.68,163.57,,112.16
